1184,-392,16448
864,-2112,14936
-640,-1920,17712
1976,1096,17104
640,3992,15976
2120,3552,16176
4256,3800,16112
4328,2760,17008
408,-1736,14336
-1440,-4848,15872
-4064,-5496,16136
-2064,720,14288
3568,6896,12336
1312,4176,17704
2696,2464,14944
3464,2600,14304
752,-840,17312
792,-2592,17504
-384,-2480,17552
2176,-496,17584
2040,1088,15776
2616,2704,15864
2816,2824,16752
2808,2384,16304
4376,1712,18528
-1064,-4944,14976
1992,-3440,18744
3072,368,15576
3152,-40,15992
2744,3936,14440
2600,3560,18128
4384,1480,14088
5512,2800,15408
3424,3520,15080
3176,2272,15912
4560,-2952,18872
3720,1656,14784
5008,5928,17464
5472,3824,16440
2280,2216,15256
6376,-7632,18416
4000,1896,14672
5704,-600,16592
5280,3048,13072
5520,5672,15704
6640,-2576,14864
6152,-4944,15088
4168,-7240,16440
4928,-2680,13800
3800,4592,14936
2968,6912,14512
3728,7392,15944
9000,3688,10664
8024,-6312,13968
1840,-8480,16512
800,-3552,17656
2104,2632,14904
1192,5360,11416
2712,5824,13664
7048,4368,11200
2520,-7952,11800
-72,-11680,13680
-1792,-1704,19368
-2096,5408,11704
-2248,5736,12192
-4320,11360,14048
-80,5616,14560
3392,3072,19280
4280,-5344,10920
912,-8416,15048
-544,-2584,18944
128,3128,18720
464,5672,16624
-1168,7536,15816
2168,6984,21248
6240,-3184,11880
4000,-12192,11840
1984,-4184,15272
896,-1808,14152
3792,2208,13424
1480,4984,14352
-296,6744,15640
2384,6576,18448
2368,-176,15000
3480,-8208,12392
1952,-3168,17096
-1552,5120,15152
8,9224,15840
-1664,12936,11816
1992,8000,15712
4208,-1216,11688
3512,-9944,9984
3472,-11664,8072
-176,3504,17768
-1232,6744,13320
-2416,7040,16912
968,4576,18696
6464,-7536,12952
3400,-7600,15504
3784,-12920,12280
-696,-2040,15256
-2744,2504,15464
-3760,9880,14640
-3584,9992,18040
7480,-4296,9984
8088,-2440,13896
7968,-10568,8784
2568,-6816,16848
-184,3152,15328
-2472,8216,12424
-2528,10256,16376
3880,2896,13112
5760,-6504,14424
3280,-7672,14976
1824,-3104,15568
-3160,8400,14936
-4040,9544,13448
-4272,9496,14648
-256,4024,16040
3856,512,-4496
7776,-5152,11864
5216,-4584,18208
368,872,15784
-1808,4104,11280
-3168,6208,11232
-4416,9296,12696
368,8912,18896
6688,-2608,9184
4888,608,14120
5528,-6616,15800
1864,4352,21128
2872,3888,12000
2832,3456,14832
4592,2952,15528
1304,5824,15040
6472,-3624,16288
5584,-4896,15088
2392,-3832,16456
-656,4016,17768
1352,4200,15480
1320,5928,14064
6504,-72,16368
4840,-5808,13936
3160,-5536,18064
4128,-528,15592
2592,1344,16776
3472,4728,14688
3656,6304,15136
6328,2032,15408
6464,-4912,14704
4096,-4440,17392
5152,-3968,15176
2016,5472,17496
2744,6408,13640
3200,6408,14680
5968,3496,17120
8488,-6080,13568
4720,-5440,13600
4624,-9896,16480
2112,-2144,13624
4824,5072,13312
6168,4496,16512
8304,3624,16800
9008,-3032,11656
8832,-12032,9288
8280,-10776,7528
1256,2040,16792
-2624,8688,14096
-3208,5552,16704
3360,3784,11064
9648,-200,10032
7632,-8216,11640
4200,-10504,12872
-416,-3208,17032
648,2176,15864
-280,5400,16200
5728,5080,16984
11520,336,10768
11680,-6536,7344
4160,-8376,14640
1296,-7392,17856
904,3152,15544
296,3184,15680
936,4768,18528
7136,1200,15680
8640,-8336,11640
4368,-8424,13520
3440,-12424,12008
-976,-1760,16848
1152,2184,15536
-880,5064,15752
-1384,7600,17656
4088,6480,18168
9192,-4224,10424
6816,-8752,12328
3568,-10192,12992
-72,-6944,16064
-1384,1176,17776
-3608,5192,17000
-3120,4440,16800
1936,4432,19208
2944,-4912,11136
8936,-8008,9544
4792,-10880,10440
568,-11480,12048
-3752,-136,17488
-2736,-128,17272
-3320,2512,14736
-2720,4424,23760
5024,1984,17000
8536,-2880,10280
5528,-9176,11352
2104,-11616,11920
-3688,-6704,18536
-3208,-3968,17336
-2416,-680,16416
80,-4024,18864
4328,1552,17272
1536,-4112,10944
4896,-9296,11336
888,-11432,11808
-2792,-11344,13504
-5032,-3408,16616
-4880,-608,16288
-3256,2360,17312
656,1248,13920
6216,1496,13288
7432,-6528,14768
6232,-8288,11712
1768,-9392,13624
-3048,-6360,17136
-3720,-2880,16584
-1648,-2552,16384
168,-1832,16528
4704,-648,15232
9104,-304,15640
10952,-5704,10656
5608,-5488,11504
2568,-11416,10560
-456,-6072,18032
-1064,752,16704
136,2880,16376
3024,3592,14816
10544,1056,14472
9408,-3680,7952
6896,-9368,13144
-1056,-7528,16488
-3616,-4000,17480
-1128,-832,17248
-760,896,15584
1552,4264,15512
5408,2680,17096
10096,-2952,5000
10784,-6352,8128
5808,-10864,14184
-1448,-8376,14608
-2904,-3720,17528
-1264,-1192,16984
744,2968,12480
-5232,9528,13480
-3072,7848,15424
-3416,9416,14976
5672,3736,13008
7096,-8496,9048
3520,-8832,10984
744,-14520,15200
-1776,-1816,13768
-1904,3008,15056
-1680,4064,15984
-5016,8952,11360
