-494,-24,-432
-456,-38,-440
-450,-88,-420
-423,-185,-388
-427,-217,-353
-428,-172,-391
-433,-126,-432
-425,-73,-449
-434,-38,-452
-476,0,-431
-493,-51,-411
-462,-129,-393
-418,-198,-376
-432,-184,-380
-453,-134,-412
-448,-90,-437
-457,-80,-439
-448,-57,-441
-438,-80,-412
-412,-138,-409
-396,-162,-400
-407,-174,-394
-427,-140,-433
-438,-90,-446
-444,-76,-450
-415,-67,-441
-375,-120,-431
-370,-135,-414
-387,-174,-394
-406,-178,-408
-429,-156,-416
-427,-156,-423
-409,-143,-445
-374,-142,-444
-362,-179,-411
-350,-199,-389
-390,-205,-392
-444,-161,-426
-412,-99,-462
-366,-83,-468
-312,-96,-444
-316,-192,-409
-354,-196,-386
-371,-180,-410
-378,-119,-456
-340,-71,-472
-291,-33,-467
-265,-34,-449
-256,-135,-409
-311,-230,-356
-380,-258,-334
-404,-225,-377
-276,-156,-433
-224,-33,-435
-272,21,-444
-328,-120,-418
-335,-230,-365
-414,-256,-314
-427,-238,-346
-307,-126,-439
-239,74,-452
-355,48,-448
-362,-140,-423
-369,-229,-359
-430,-252,-318
-508,-243,-317
-541,-172,-366
-406,-83,-458
-254,48,-448
-304,-19,-449
-323,-174,-409
-356,-229,-364
-438,-247,-354
-520,-181,-385
-491,-102,-431
-286,5,-481
-256,51,-455
-267,-103,-439
-272,-201,-379
-335,-243,-348
-415,-237,-362
-496,-197,-377
-501,-138,-421
-364,-106,-463
-264,-43,-435
-292,-137,-412
-353,-253,-319
-440,-280,-279
-509,-280,-272
-483,-266,-326
-327,-98,-461
-283,38,-450
-251,82,-428
-362,-146,-414
-459,-266,-314
-522,-278,-265
-464,-148,-440
-282,24,-478
-274,33,-452
-249,61,-435
-327,-121,-434
-445,-254,-342
-538,-266,-293
-577,-187,-343
-309,-57,-478
-234,-51,-452
-185,30,-428
-261,-61,-443
-378,-237,-369
-497,-306,-272
-593,-229,-277
-419,-124,-456
-261,-10,-457
-269,-41,-457
-291,-158,-411
-392,-266,-317
-499,-272,-272
-597,-205,-295
-564,-144,-383
-348,-48,-479
-203,24,-444
-222,-35,-433
-288,-179,-389
-393,-244,-347
-497,-260,-291
-587,-194,-305
-481,-123,-417
-277,-90,-456
-227,-66,-433
-245,-96,-420
-338,-205,-368
-371,-216,-374
-395,-187,-409
-406,-149,-451
-424,-120,-460
-332,-119,-444
-259,-89,-448
-278,-140,-409
-366,-206,-371
-434,-212,-389
-453,-175,-429
-360,-92,-472
-293,-41,-462
-275,-88,-434
-286,-176,-399
-344,-237,-354
-370,-261,-341
-378,-219,-393
-330,-123,-457
-314,-80,-458
-280,-83,-439
-246,-148,-411
-327,-234,-359
-366,-247,-357
-411,-211,-386
-374,-162,-441
-282,-49,-466
-254,-33,-450
-234,-64,-428
-230,-160,-388
-298,-222,-372
-380,-202,-399
-302,-134,-444
-207,-7,-440
-144,75,-388
-165,35,-406
-343,-174,-418
-462,-231,-357
-551,-203,-330
-433,-111,-454
-207,-41,-443
-186,6,-434
-232,46,-438
-309,-119,-432
-395,-199,-389
-492,-188,-379
-382,-123,-445
-209,-61,-433
-165,20,-423
-224,35,-440
-285,-65,-444
-332,-196,-398
-403,-224,-376
-472,-170,-405
-357,-79,-469
-234,41,-452
-244,35,-438
-250,80,-432
-291,-79,-438
-349,-201,-386
-453,-221,-364
-517,-188,-371
-433,-106,-446
-224,7,-460
-204,51,-426
-227,76,-423
-277,-49,-444
-334,-165,-410
-440,-224,-366
-538,-164,-372
-499,-83,-422
-282,-21,-475
-183,65,-417
-180,110,-409
-272,26,-441
-367,-135,-423
-396,-216,-376
-474,-230,-346
-517,-147,-386
-396,-85,-461
-223,14,-439
-235,55,-441
-311,64,-452
-378,-32,-456
-390,-87,-445
-432,-133,-421
-462,-162,-393
-385,-69,-452
-283,-2,-469
-235,88,-444
-276,115,-423
-322,60,-458
-396,-101,-427
-439,-161,-397
-443,-178,-400
-401,-167,-427
-314,-119,-454
-229,-28,-435
-198,29,-437
-249,41,-440
-353,-41,-452
-392,-102,-435
-378,-124,-437
-361,-162,-425
-345,-138,-438
-272,-88,-451
-160,-17,-406
-169,19,-417
-232,64,-438
-325,-48,-445
-341,-134,-429
-407,-184,-411
-404,-130,-450
-260,-70,-454
-135,-28,-389
-191,11,-425
-304,-39,-446
-377,-140,-428
-429,-164,-414
-467,-149,-422
-461,-117,-440
-392,-82,-467
-201,-29,-456
-164,39,-425
-229,76,-448
-317,-6,-458
-412,-74,-445
-366,-155,-408
-424,-266,-307
-515,-266,-259
-594,-207,-276
-585,-151,-346
-364,-60,-473
-214,69,-443
-232,99,-438
-295,57,-449
-339,-96,-444
-360,-212,-372
-433,-270,-301
-512,-285,-240
-599,-220,-251
-596,-152,-328
-387,-41,-474
-286,41,-467
-281,82,-462
-322,103,-454
-374,-37,-458
-402,-179,-387
-441,-253,-312
-496,-269,-283
-576,-224,-274
-608,-160,-306
-477,-90,-432
-280,32,-473
-211,108,-449
-244,176,-406
-293,151,-426
-327,-57,-449
-374,-203,-379
-446,-243,-329
-530,-240,-293
-580,-210,-271
-546,-162,-352
-387,-53,-465
-281,43,-460
-265,116,-437
-320,71,-455
-329,-73,-446
-351,-167,-410
-404,-228,-360
